Instancia,Solucao Guloso,Solucao Ref,Desvio %,Rotas
mgval_0.30_10D,0.0,539.0,-100.0,0
mgval_0.30_1A,297.0,170.0,74.71,4
mgval_0.30_1B,257.0,194.0,32.47,4
mgval_0.30_1C,489.0,259.0,88.8,9
mgval_0.30_2A,51.0,233.0,-78.11,1
mgval_0.30_2B,31.0,347.0,-91.07,2
mgval_0.30_2C,67.0,495.0,-86.46,2
mgval_0.30_3A,128.0,105.0,21.9,3
mgval_0.30_3B,166.0,115.0,44.35,5
mgval_0.30_3C,3.0,153.0,-98.04,1
mgval_0.30_4A,583.0,477.0,22.22,3
mgval_0.30_4B,962.0,533.0,80.49,4
mgval_0.30_4C,760.0,498.0,52.61,7
mgval_0.30_4D,915.0,653.0,40.12,8
mgval_0.30_5A,621.0,445.0,39.55,3
mgval_0.30_5B,883.0,490.0,80.2,4
mgval_0.30_5C,580.0,553.0,4.88,4
mgval_0.30_5D,882.0,619.0,42.49,8
mgval_0.30_6A,374.0,252.0,48.41,3
mgval_0.30_6B,123.0,262.0,-53.05,1
mgval_0.30_6C,355.0,317.0,11.99,9
mgval_0.30_7A,416.0,324.0,28.4,3
mgval_0.30_7B,414.0,344.0,20.35,3
mgval_0.30_7C,360.0,354.0,1.69,8
mgval_0.30_8A,913.0,431.0,111.83,3
mgval_0.30_8B,724.0,400.0,81.0,5
mgval_0.30_8C,842.0,522.0,61.3,8
mgval_0.30_9A,663.0,357.0,85.71,5
mgval_0.30_9B,635.0,348.0,82.47,6
mgval_0.30_9C,706.0,335.0,110.75,6
mgval_0.30_9D,636.0,429.0,48.25,10
mgval_0.35_10A,977.0,475.0,105.68,5
mgval_0.35_10B,979.0,461.0,112.36,11
mgval_0.35_10C,776.0,430.0,80.47,8
mgval_0.35_10D,775.0,523.0,48.18,10
mgval_0.35_1A,332.0,158.0,110.13,4
mgval_0.35_1B,199.0,192.0,3.65,3
mgval_0.35_1C,140.0,282.0,-50.35,4
mgval_0.35_2A,86.0,286.0,-69.93,1
mgval_0.35_2B,47.0,326.0,-85.58,1
mgval_0.35_2C,0.0,485.0,-100.0,0
mgval_0.35_3A,101.0,84.0,20.24,1
mgval_0.35_3B,140.0,113.0,23.89,3
mgval_0.35_3C,0.0,150.0,-100.0,0
mgval_0.35_4A,0.0,430.0,-100.0,0
mgval_0.35_4B,642.0,531.0,20.9,7
mgval_0.35_4C,757.0,516.0,46.71,6
mgval_0.35_4D,52.0,643.0,-91.91,2
mgval_0.35_5A,851.0,455.0,87.03,4
mgval_0.35_5B,980.0,468.0,109.4,4
mgval_0.35_5C,0.0,586.0,-100.0,0
mgval_0.35_5D,810.0,576.0,40.62,7
mgval_0.35_6A,344.0,248.0,38.71,2
mgval_0.35_6B,330.0,250.0,32.0,3
mgval_0.35_6C,207.0,312.0,-33.65,5
mgval_0.35_7A,359.0,264.0,35.98,4
mgval_0.35_7B,426.0,325.0,31.08,7
mgval_0.35_7C,307.0,336.0,-8.63,7
mgval_0.35_8A,713.0,415.0,71.81,3
mgval_0.35_8B,871.0,385.0,126.23,8
mgval_0.35_8C,891.0,489.0,82.21,8
mgval_0.35_9A,498.0,324.0,53.7,3
mgval_0.35_9B,676.0,331.0,104.23,10
mgval_0.35_9C,740.0,328.0,125.61,6
mgval_0.35_9D,705.0,430.0,63.95,9
mgval_0.40_10A,746.0,406.0,83.74,6
mgval_0.40_10B,29.0,433.0,-93.3,1
mgval_0.40_10C,955.0,432.0,121.06,5
mgval_0.40_10D,908.0,482.0,88.38,14
mgval_0.40_1A,323.0,165.0,95.76,3
mgval_0.40_1B,106.0,196.0,-45.92,2
mgval_0.40_1C,245.0,267.0,-8.24,7
mgval_0.40_2A,42.0,222.0,-81.08,1
mgval_0.40_2B,386.0,311.0,24.12,3
mgval_0.40_2C,49.0,469.0,-89.55,2
mgval_0.40_3A,100.0,86.0,16.28,3
mgval_0.40_3B,18.0,110.0,-83.64,2
mgval_0.40_3C,18.0,148.0,-87.84,1
mgval_0.40_4A,592.0,400.0,48.0,4
mgval_0.40_4B,0.0,423.0,-100.0,0
mgval_0.40_4C,796.0,462.0,72.29,5
mgval_0.40_4D,709.0,620.0,14.35,10
mgval_0.40_5A,834.0,426.0,95.77,5
mgval_0.40_5B,831.0,424.0,95.99,4
mgval_0.40_5C,872.0,524.0,66.41,5
mgval_0.40_5D,81.0,602.0,-86.54,2
mgval_0.40_6A,0.0,224.0,-100.0,0
mgval_0.40_6B,277.0,211.0,31.28,3
mgval_0.40_6C,337.0,312.0,8.01,8
mgval_0.40_7A,542.0,271.0,100.0,7
mgval_0.40_7B,287.0,270.0,6.3,2
mgval_0.40_7C,474.0,330.0,43.64,8
mgval_0.40_8A,655.0,393.0,66.67,3
mgval_0.40_8B,651.0,371.0,75.47,5
mgval_0.40_8C,879.0,517.0,70.02,8
mgval_0.40_9A,626.0,341.0,83.58,7
mgval_0.40_9B,575.0,327.0,75.84,9
mgval_0.40_9C,44.0,295.0,-85.08,1
mgval_0.40_9D,655.0,382.0,71.47,7
mgval_0.45_10A,67.0,388.0,-82.73,1
mgval_0.45_10B,918.0,399.0,130.08,8
mgval_0.45_10C,888.0,403.0,120.35,7
mgval_0.45_10D,0.0,488.0,-100.0,0
mgval_0.45_1A,406.0,168.0,141.67,4
mgval_0.45_1B,55.0,166.0,-66.87,1
mgval_0.45_1C,167.0,258.0,-35.27,6
mgval_0.45_2A,146.0,251.0,-41.83,3
mgval_0.45_2B,21.0,314.0,-93.31,2
mgval_0.45_2C,47.0,462.0,-89.83,2
mgval_0.45_3A,16.0,82.0,-80.49,1
mgval_0.45_3B,10.0,91.0,-89.01,1
mgval_0.45_3C,17.0,143.0,-88.11,1
mgval_0.45_4A,36.0,381.0,-90.55,1
mgval_0.45_4B,41.0,471.0,-91.3,1
mgval_0.45_4C,66.0,480.0,-86.25,1
mgval_0.45_4D,11.0,577.0,-98.09,1
mgval_0.45_5A,53.0,392.0,-86.48,1
mgval_0.45_5B,727.0,416.0,74.76,4
mgval_0.45_5C,0.0,492.0,-100.0,0
mgval_0.45_5D,0.0,552.0,-100.0,0
mgval_0.45_6A,350.0,213.0,64.32,5
mgval_0.45_6B,161.0,210.0,-23.33,2
mgval_0.45_6C,530.0,296.0,79.05,8
mgval_0.45_7A,222.0,261.0,-14.94,3
mgval_0.45_7B,370.0,294.0,25.85,7
mgval_0.45_7C,426.0,336.0,26.79,9
mgval_0.45_8A,648.0,370.0,75.14,4
mgval_0.45_8B,861.0,360.0,139.17,5
mgval_0.45_8C,792.0,496.0,59.68,8
mgval_0.45_9A,209.0,306.0,-31.7,4
mgval_0.45_9B,242.0,323.0,-25.08,3
mgval_0.45_9C,229.0,291.0,-21.31,3
mgval_0.45_9D,665.0,387.0,71.83,9
mgval_0.50_10A,42.0,385.0,-89.09,1
mgval_0.50_10B,903.0,369.0,144.72,13
mgval_0.50_10C,30.0,406.0,-92.61,1
mgval_0.50_10D,721.0,457.0,57.77,8
mgval_0.50_1A,74.0,145.0,-48.97,1
mgval_0.50_1B,52.0,170.0,-69.41,1
mgval_0.50_1C,309.0,255.0,21.18,9
mgval_0.50_2A,84.0,248.0,-66.13,2
mgval_0.50_2B,74.0,284.0,-73.94,1
mgval_0.50_2C,279.0,464.0,-39.87,5
mgval_0.50_3A,0.0,75.0,-100.0,0
mgval_0.50_3B,5.0,107.0,-95.33,1
mgval_0.50_3C,3.0,137.0,-97.81,1
mgval_0.50_4A,6.0,350.0,-98.29,1
